DayOfMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay
13,3,DL,260,441,100,1934
25,7,MQ,260,983,1343,797
20,3,F9,441,224,297,61
2,5,UA,983,870,438,269
24,4,FL,983,260,722,441
29,3,9E,260,131,573,952
31,7,AS,260,870,1287,371
5,7,MQ,870,123,1527,1398
1,3,B6,123,870,1762,1409
22,3,VX,441,260,1421,343
16,1,US,441,224,806,158
30,6,AS,441,870,1572,377
31,1,AS,224,123,1917,375
29,5,F9,123,224,1491,1758
31,6,WN,983,441,532,1599
27,4,WN,441,123,1045,34
7,4,YV,441,983,867,1385
12,5,UA,123,441,148,1530
31,1,YV,983,224,275,768
20,1,AA,441,260,1266,897
7,1,HA,224,131,784,854
26,5,DL,983,224,1035,492
9,7,FL,224,131,350,5
12,7,MQ,224,123,1226,-36
2,2,WN,224,983,365,160
25,3,B6,870,260,1751,1963
2,6,AS,224,131,1776,27
28,4,WN,123,870,342,1908
3,1,US,441,870,507,169
20,6,US,224,983,1460,1107
20,4,B6,870,131,368,780
29,2,WN,870,260,1288,1757
24,1,US,870,260,1648,1180
12,2,OO,441,983,174,273
3,4,B6,260,123,1426,432
19,5,US,131,123,400,1582
31,7,WN,983,441,110,1078
12,1,HA,131,983,533,1875
12,7,UA,224,123,370,1041
26,4,DL,131,224,995,18
23,7,AS,224,983,1291,1337
28,2,VX,123,224,185,481
1,1,HA,441,260,1440,1619
6,3,AS,870,983,1228,247
6,7,AA,123,224,234,1014
14,4,YV,870,441,1596,1018
4,3,WN,224,131,354,1060
19,4,AS,441,260,86,803
2,1,HA,870,131,1134,765
25,3,AS,260,224,1243,391
24,4,FL,123,870,429,1457
8,5,UA,131,441,195,1526
2,4,DL,260,441,1783,218
19,4,VX,260,983,1610,1085
1,3,FL,123,870,1784,1382
28,1,MQ,123,870,1684,1540
13,7,AS,131,123,1290,807
3,5,B6,983,224,1988,694
12,6,F9,260,983,867,321
7,2,F9,224,983,208,625
16,4,YV,260,441,1223,1194
3,4,YV,224,870,1140,1025
12,5,EV,131,123,1171,1791
2,3,AS,870,123,214,269
17,4,YV,131,260,68,1742
21,2,US,260,131,1848,1953
15,1,US,224,123,245,1966
2,2,YV,441,224,1699,550
30,3,VX,983,260,1574,1285
2,7,US,441,131,169,1250
22,4,AS,123,131,932,515
19,6,F9,983,123,1332,1170
22,4,F9,441,260,247,1168
21,7,US,131,870,423,282
14,5,UA,441,260,-26,1385
31,2,US,983,224,1891,686
5,1,AS,224,260,314,1979
27,6,AA,260,131,1279,436
5,2,FL,131,870,578,1692
12,6,MQ,123,870,1719,1067
26,4,MQ,260,441,879,1167
29,7,HA,260,870,1406,1704
25,4,WN,870,983,563,717
5,7,9E,260,131,113,1868
18,1,B6,260,983,1067,243
9,4,F9,260,224,1691,275
29,3,DL,224,870,1599,118
12,2,VX,870,131,234,1435
11,1,US,224,123,498,463
30,7,OO,123,983,468,1821
1,1,DL,870,131,948,783
18,6,WN,260,224,355,1080
4,1,MQ,224,983,1619,1772
27,4,DL,123,260,890,488
1,5,UA,983,870,885,1606
22,1,UA,224,441,177,1978
18,1,VX,260,131,1825,78
12,3,DL,441,870,1362,176
24,6,B6,983,224,1261,446
18,3,FL,123,983,1803,1860
26,2,EV,441,224,1774,51
2,7,HA,983,224,71,1192
13,7,OO,983,131,937,49
7,3,UA,260,441,95,1259
26,3,WN,983,123,1538,1701
6,4,OO,870,983,1404,992
24,4,EV,260,123,1663,639
11,1,EV,131,983,1243,1110
20,6,WN,983,870,582,1718
2,6,UA,983,870,1681,1024
3,6,VX,441,123,1388,555
28,5,YV,123,224,42,417
25,6,UA,123,224,1383,1468
20,2,YV,131,123,1419,1423
19,2,UA,870,123,1530,1187
8,1,DL,441,983,662,1944
30,5,B6,131,870,972,966
7,5,AS,441,870,1911,719
28,1,YV,123,224,607,1723
31,7,US,123,441,1323,165
10,3,FL,131,260,613,1380
4,2,F9,131,224,869,1923
18,5,UA,123,983,1814,431
3,3,VX,131,123,1860,1582
27,5,EV,260,870,413,1198
15,4,UA,441,123,425,645
14,5,AA,260,224,408,526
6,3,MQ,983,224,1317,1063
9,2,9E,260,123,412,1140
3,5,FL,131,260,531,601
24,5,US,441,131,68,16
31,6,9E,123,260,763,1606
1,4,AS,131,441,1137,1878
13,3,YV,224,441,198,145
14,4,YV,224,870,735,1293
11,7,US,131,224,1314,1533
17,5,B6,224,983,1207,890
9,4,MQ,870,123,477,296
31,4,WN,123,983,916,554
30,5,US,260,983,677,552
15,4,AS,870,131,1937,-6
17,4,MQ,123,870,781,1345
10,4,OO,123,260,1070,-67
14,2,9E,260,123,1398,1551
13,1,HA,983,123,1384,1082
17,4,9E,123,870,386,427
12,7,US,123,870,1397,490
17,4,AA,224,131,85,59
11,7,OO,224,441,1771,510
5,3,US,131,260,565,1509
27,3,US,131,441,1977,1987
23,5,AS,131,870,1845,-32
22,1,WN,983,260,1160,9
9,6,MQ,131,870,110,1867
21,6,VX,224,131,505,892
31,6,B6,123,131,681,-23
14,2,WN,870,983,735,1580
30,4,AA,131,260,465,749
22,4,VX,131,983,1185,609
11,5,UA,870,131,982,1883
9,5,AS,224,260,821,1119
23,2,OO,260,983,1198,1865
30,7,9E,983,131,1078,399
18,4,VX,131,441,1313,499
10,6,EV,983,123,1318,1711
24,4,HA,441,983,727,1010
9,2,B6,131,441,880,893
29,5,MQ,123,441,853,115
11,6,OO,123,870,311,463
30,2,WN,123,131,1848,1855
25,3,US,441,224,1069,142
21,5,MQ,260,123,52,617
30,1,VX,870,224,1929,663
29,1,DL,441,983,1122,339
15,6,OO,983,260,449,1965
7,7,B6,870,983,1254,565
21,3,FL,441,870,-43,1280
19,6,HA,260,983,618,1560
17,3,EV,260,870,1541,290
16,3,MQ,224,260,-73,968
15,7,9E,870,224,1250,1136
19,1,9E,131,441,1372,867
4,4,AS,123,441,554,1560
30,6,AS,441,131,380,1108
8,2,F9,983,131,1858,527
20,3,WN,870,441,1828,794
22,7,EV,260,224,1729,1381
4,1,HA,123,131,513,573
15,1,HA,983,131,1902,272
26,1,YV,131,870,440,1601
2,5,YV,870,131,1162,-11
27,1,HA,870,983,199,85
23,1,AA,870,983,182,1833
14,2,F9,123,983,1621,1433
28,4,VX,870,260,228,444
4,2,VX,441,983,421,812
25,1,AS,260,123,1796,1637
27,2,MQ,131,870,1786,1317
7,6,B6,224,983,31,1617
8,2,EV,131,123,313,37
22,6,AA,870,131,902,81
8,5,HA,870,260,131,473
8,7,US,131,983,1213,870
22,5,MQ,983,224,1593,1130
18,5,FL,983,123,1649,1930
31,6,VX,123,983,1205,1605
10,4,FL,870,224,1839,887
10,7,F9,260,224,1796,136
31,4,F9,131,870,1490,894
11,6,EV,983,224,1742,1419
24,7,HA,123,131,111,999
20,5,AA,870,441,198,670
24,6,HA,260,131,1863,755
10,1,HA,260,983,678,380
30,2,HA,441,870,1524,880
25,3,VX,131,983,1809,1371
12,5,OO,983,260,1808,303
16,7,US,260,441,732,1418
2,5,MQ,983,870,497,-34
30,5,WN,983,131,1109,524
8,4,MQ,224,983,1945,1282
31,6,OO,983,870,1787,589
6,2,OO,441,983,653,140
27,7,EV,131,123,98,-74
27,6,MQ,870,224,178,518
17,4,UA,123,224,147,1879
1,1,WN,441,870,-52,-32
9,5,AS,131,441,-30,1957
22,4,FL,260,441,338,294
8,2,9E,131,224,1351,994
3,3,VX,260,870,1780,896
10,6,EV,441,224,29,282
13,5,OO,870,260,129,-62
3,4,WN,441,224,1256,290
8,2,OO,131,123,1010,90
30,3,AA,123,441,634,1188
19,2,VX,123,224,215,1125
8,5,VX,224,131,1258,1472
5,7,EV,260,441,1951,1316
14,2,EV,123,260,1295,1524
1,6,9E,260,983,1745,1909
18,4,WN,224,983,660,1456
10,7,MQ,123,131,201,236
13,6,F9,983,224,1495,1197
3,1,AS,983,123,1721,1374
4,2,EV,260,983,667,1665
18,5,WN,870,131,323,7
18,1,US,123,983,1477,-50
13,7,EV,983,870,894,594
6,2,9E,441,870,1133,999
3,2,WN,870,224,1030,1624
26,1,UA,983,870,930,910
16,5,HA,441,260,1775,338
1,4,US,224,983,1456,1249
14,7,F9,870,983,1130,1213
7,4,US,131,441,627,1531
24,6,OO,983,260,892,1234
27,7,VX,870,983,1395,366
19,5,FL,131,224,10,1790
15,7,AS,441,224,183,1575
5,6,AS,441,870,891,934
23,4,VX,441,224,202,1739
19,4,WN,131,870,50,1372
20,6,EV,441,131,347,916
12,2,AA,441,260,1536,1258
4,1,B6,260,870,959,809
17,5,MQ,131,441,1725,1432
25,6,F9,870,260,1312,0
10,4,EV,870,123,375,480
11,4,HA,983,260,1878,1326
15,6,YV,870,123,1206,175
26,6,B6,983,123,-8,1305
22,7,FL,441,123,899,614
11,5,WN,131,224,1792,849
21,2,FL,260,870,1670,1520
20,2,YV,123,441,1659,1492
7,2,9E,123,441,156,316
6,3,US,260,131,707,1774
22,7,OO,123,983,1183,1491
19,1,UA,131,870,1341,1775
27,6,AS,131,224,247,448
8,3,B6,983,123,649,1429
17,4,WN,441,224,464,1471
16,6,FL,870,224,583,1905
6,3,YV,983,224,119,1370
5,2,VX,123,870,1970,1927
16,4,YV,870,441,1901,585
1,7,MQ,123,131,1096,33
18,3,FL,983,224,1773,1928
4,5,B6,131,260,997,1402
25,6,YV,131,123,795,1641
27,6,MQ,123,441,1119,32
12,7,EV,870,983,1698,380
7,7,UA,260,224,1653,579
26,2,HA,131,224,143,1336
20,5,FL,131,983,1225,1098
9,7,B6,983,131,455,1585
28,6,F9,123,983,443,922
11,7,MQ,224,441,1508,1904
21,3,WN,224,131,1436,1751
26,7,EV,123,441,1550,1039
15,4,US,441,983,-90,281
21,6,UA,441,870,159,1529
27,2,OO,224,870,999,1222
11,5,F9,260,983,1887,1307
2,1,YV,441,123,-34,408
15,4,DL,260,224,1652,728
29,6,AS,441,224,551,1022
12,3,EV,123,441,1423,577
21,3,MQ,123,870,1658,273
1,2,OO,441,123,219,443
17,6,YV,131,224,-62,-67
27,1,WN,441,983,441,1856
13,1,B6,123,224,322,1183
5,4,F9,983,260,485,180
1,5,FL,131,260,1702,1338
21,6,F9,441,224,1586,1712
3,1,F9,260,224,404,1472
11,7,F9,983,870,914,1034
8,5,AS,441,123,9,1135
20,5,HA,224,131,1504,1110
26,7,MQ,441,123,1927,1480
16,6,EV,123,224,-51,1379
13,7,WN,983,224,1396,607
31,7,EV,260,870,-32,176
7,1,AA,123,983,1530,1975
23,5,WN,983,441,1634,1547
18,5,F9,123,441,1036,242
17,2,F9,983,123,1238,1500
25,7,EV,131,441,1170,1691
2,2,EV,441,224,1679,375
20,1,AS,870,131,619,389
5,6,DL,123,441,571,1933
17,7,9E,983,131,583,1423
25,7,9E,224,441,383,20
9,5,EV,983,870,977,215
17,3,AA,870,260,1946,583
9,7,B6,983,224,372,835
1,1,DL,441,131,901,88
13,2,FL,870,983,44,1617
8,4,US,224,983,1011,219
4,5,AA,131,983,634,814
2,4,EV,260,131,1805,1056
11,1,YV,260,983,-68,1411
19,7,AS,224,983,893,1800
16,7,HA,983,131,904,516
1,2,UA,123,870,-61,1272
13,7,AS,123,441,325,740
14,4,AA,131,224,483,1046
30,2,WN,123,260,1425,1777
19,1,F9,441,123,1515,206
2,4,F9,131,260,869,1094
30,7,VX,983,260,1236,1202
8,1,HA,870,983,457,346
6,4,YV,224,123,1186,1565
12,7,HA,123,131,1751,1162
28,1,EV,870,983,545,1146
23,5,AA,260,441,780,1242
23,2,UA,224,123,1523,100
9,7,FL,441,983,27,1556
18,6,MQ,260,870,287,1792
4,1,AA,123,224,810,435
12,6,EV,224,870,960,207
7,6,YV,123,260,427,276
4,1,YV,260,983,107,588
27,6,VX,131,870,1932,20
14,2,UA,870,441,779,666
15,2,AA,983,260,906,1108
29,5,OO,870,260,149,259
5,4,HA,983,870,920,-21
12,4,OO,870,441,1309,1957
9,2,DL,983,870,1206,797
2,7,OO,123,983,1364,853
8,6,MQ,224,123,991,129
19,7,VX,260,224,1353,611
19,3,UA,224,260,15,1340
5,5,HA,131,260,1916,1165
2,1,AA,224,870,852,796
16,1,US,123,131,725,434
6,7,US,983,441,143,-11
23,2,B6,224,131,1394,197
31,6,VX,983,441,313,1278
5,2,WN,983,260,1895,1199
31,5,UA,224,441,814,618
24,6,AS,870,983,421,627
31,6,VX,441,123,32,645
30,7,MQ,131,983,326,1932
24,1,MQ,224,983,1320,1208
29,1,US,224,441,1729,-54
8,6,EV,983,224,1335,951
24,1,AA,260,123,1480,1694
6,4,OO,441,870,1451,1338
4,7,OO,131,870,823,566
26,7,AA,870,123,1107,-18
31,1,EV,983,260,1300,596
24,1,EV,870,224,1284,1877
14,6,FL,441,123,1678,543
11,2,HA,123,260,1576,986
10,2,B6,441,983,103,1509
27,4,F9,131,260,123,1377
3,3,OO,123,870,717,297
6,6,AS,123,224,235,1839
10,7,VX,260,123,1828,1903
3,6,VX,441,983,657,1419
6,4,AA,870,983,978,1701
8,7,9E,870,983,152,519
22,1,EV,260,441,1308,1595
8,5,AA,260,131,1485,1614
28,4,MQ,131,441,1850,1124
29,7,AA,123,870,1956,503
6,2,HA,123,870,689,416
3,6,WN,123,870,727,505
9,3,EV,260,131,256,1489
18,3,9E,131,870,1776,-50
20,5,WN,260,441,360,1597
19,5,B6,224,260,332,313
28,5,UA,260,983,1583,981
16,5,OO,870,441,53,605
5,5,VX,983,870,58,1521
8,1,OO,983,441,1000,1425
27,7,AS,123,983,1173,1048
28,6,B6,260,870,833,450
15,7,US,983,441,1003,1607
3,2,YV,131,441,765,1567
25,5,UA,441,870,130,551
23,5,VX,123,983,455,18
29,7,HA,224,260,136,921
2,3,HA,123,870,1022,1408
17,4,B6,260,870,25,890
20,4,FL,983,870,1843,1332
27,3,EV,983,224,1067,12
6,7,HA,870,123,806,822
9,6,WN,441,224,-18,-64
21,2,DL,870,224,816,933
23,6,9E,131,983,1635,1442
15,3,HA,260,983,1811,1137
27,5,VX,441,131,319,-70
31,7,UA,131,441,1057,1122
16,1,US,441,123,1032,1231
9,6,AS,260,983,671,514
29,1,VX,131,224,1209,473
21,4,AS,441,123,962,1614
24,1,HA,870,260,1305,810
21,7,OO,441,131,1368,1977
27,6,FL,983,224,1103,299
24,3,FL,870,224,1274,265
8,6,AS,224,983,1622,1257
19,3,YV,983,260,382,1827
19,5,EV,123,441,1834,696
28,6,VX,131,123,1122,1592
5,2,US,123,224,1576,1774
28,6,FL,224,983,231,1897
6,3,AA,983,441,-81,1751
25,7,FL,983,224,548,1905
5,5,WN,260,123,1658,1552
13,1,AA,870,260,716,1428
25,7,HA,123,983,-27,-84
8,2,UA,441,260,1178,428
17,5,AS,123,870,584,167
10,3,YV,260,123,1283,1676
11,4,UA,441,224,671,575
1,2,MQ,260,870,437,765
19,5,FL,441,123,404,1401
26,1,VX,441,260,947,99
22,1,DL,131,123,97,374
13,1,9E,870,260,1843,527
22,6,DL,224,441,1133,1623
22,5,9E,441,123,461,1615
17,6,B6,260,123,1057,366
16,2,HA,260,123,977,726
14,3,FL,983,441,61,1933
30,4,US,224,441,860,-89
3,1,OO,123,441,510,268
3,6,B6,260,131,948,846
9,4,AA,870,983,308,615
28,3,UA,260,123,1180,1644
4,7,AA,441,123,-61,466
6,3,UA,441,260,1692,998
12,7,US,441,123,649,366
31,4,9E,870,260,1479,1858
21,7,FL,260,870,363,442
2,7,FL,441,260,324,1604
26,5,YV,131,870,642,1455
20,1,F9,260,983,1878,1899
15,1,EV,123,870,971,1187
28,6,MQ,123,441,1285,290
24,2,OO,870,441,1316,1476
29,5,AA,224,131,-53,542
28,4,FL,131,870,206,1913
11,3,AA,983,224,1976,812
13,4,MQ,131,441,222,1780
15,1,OO,870,131,1731,1194
24,6,DL,123,870,320,1552
18,5,DL,870,123,272,1147
7,6,YV,131,260,1296,1388
27,2,YV,260,123,1259,1837
12,6,YV,441,260,367,299
8,1,US,260,441,1354,1095
12,6,B6,131,260,87,572
27,6,WN,870,224,338,941
7,1,VX,131,224,783,1772
23,3,B6,260,224,1597,90
19,1,YV,441,260,1773,1965
1,5,AA,224,870,1672,1878
23,5,FL,131,224,425,324
20,5,US,870,441,1964,1475
30,6,MQ,870,131,1020,1529
15,7,F9,983,260,465,1590
29,6,AS,131,441,1185,790
20,6,AS,224,260,1314,443
31,2,US,441,260,372,1342
19,5,WN,131,870,1071,1630
17,1,DL,260,123,1460,495
2,2,9E,123,441,559,1073
5,7,AA,441,983,1108,735
2,3,YV,260,131,319,818
18,4,MQ,441,260,1992,1078
2,4,VX,441,260,1606,1180
1,6,9E,131,123,731,1714
30,6,UA,260,224,704,692
6,6,EV,983,870,665,611
4,4,AA,441,131,1655,1043
5,2,9E,131,983,-77,1253
30,2,AA,870,441,529,1221
25,6,AS,131,123,1909,1366
11,5,MQ,123,441,653,179
6,4,VX,260,131,276,1331
22,3,US,224,260,1377,1102
17,4,DL,224,131,369,1317
29,6,MQ,870,224,63,1214
13,3,AS,870,123,1,1435
15,4,AA,131,260,1114,688
3,1,FL,983,131,-70,168
21,7,HA,224,441,1637,325
27,6,WN,224,131,195,529
23,3,AA,123,870,258,200
26,3,EV,123,224,832,959
15,6,VX,870,260,1673,1195
22,1,DL,123,870,159,86
12,5,B6,441,123,1087,1134
10,7,YV,131,123,1462,1518
1,4,FL,260,441,800,458
26,7,AS,441,870,490,1120
21,3,DL,441,260,479,404
19,5,VX,123,260,248,1148
24,6,UA,224,441,767,1590
5,2,FL,441,131,804,935
6,6,AA,224,123,1789,199
3,3,B6,983,441,708,1895
5,6,MQ,983,260,309,1067
29,2,US,131,123,1890,1745
22,3,F9,983,131,1392,1195
1,3,MQ,870,224,807,1686
5,6,US,983,260,1865,1795
25,3,OO,870,983,345,619
3,7,9E,441,131,473,704
29,6,EV,983,441,208,-24
21,1,VX,260,131,771,50
18,5,OO,131,983,508,1398
29,7,AS,870,224,448,1803
3,4,UA,131,260,1956,-57
28,7,FL,441,224,474,1727
19,5,F9,224,260,1880,1369
25,4,MQ,123,224,157,982
2,6,HA,983,224,1379,1489
29,1,AA,870,260,1227,322
21,7,9E,441,131,978,612
13,3,EV,870,441,930,1441
13,3,UA,224,131,1894,1874
17,2,YV,131,123,578,842
21,3,HA,123,131,515,665
20,6,B6,224,983,843,1598
24,1,OO,260,983,1861,1862
6,6,WN,224,131,-9,898
19,5,FL,123,224,451,1999
5,1,FL,123,131,957,637
20,5,DL,131,870,1061,251
20,4,OO,224,870,598,798
20,2,FL,260,870,1992,983
22,3,YV,224,441,181,841
5,1,DL,870,260,728,1965
27,2,B6,441,870,626,1849
2,7,B6,131,260,281,1875
29,5,DL,441,224,1667,1623
23,5,WN,983,123,839,1874
12,5,B6,260,870,1642,448
25,2,EV,983,870,1060,1573
1,6,DL,983,224,382,-71
7,6,US,870,441,1574,1383
14,6,9E,123,224,970,1634
20,3,VX,131,983,734,1592
16,2,UA,131,260,1881,939
12,7,VX,983,131,465,387
15,7,FL,441,224,310,778
26,3,AA,131,870,558,1493
26,1,F9,441,123,1831,1683
9,2,UA,123,260,227,54
30,4,AS,441,870,135,617
15,1,HA,441,870,1071,697
17,5,MQ,123,131,594,47
21,1,FL,983,224,255,1030
12,6,VX,260,870,1560,720
24,6,EV,131,123,269,1065
30,5,UA,441,131,1323,1032
31,2,YV,224,131,1554,-81
14,5,B6,983,224,196,1960
31,1,9E,983,260,924,1713
16,7,MQ,870,131,1291,1779
29,5,DL,441,870,1874,376
13,6,MQ,983,123,841,1193
17,5,DL,870,983,978,916
13,6,US,983,123,211,631
12,2,9E,870,983,648,678
7,2,MQ,870,441,987,746
27,2,UA,224,260,538,336
22,6,OO,123,260,-73,73
12,5,US,260,870,1916,1025
25,5,9E,870,224,1529,809
5,1,WN,260,131,1859,33
13,7,FL,131,983,1772,393
15,3,DL,441,131,-52,763
4,3,UA,870,131,963,666
8,3,OO,131,983,1305,1398
14,2,WN,224,870,1424,1395
9,4,FL,260,870,437,836
24,3,MQ,260,123,1670,1460
26,6,F9,224,260,1837,-61
16,2,US,224,870,1893,1128
28,5,AA,983,131,1531,305
2,2,9E,441,224,1851,294
11,3,UA,870,441,1375,955
14,1,UA,983,123,714,614
12,3,OO,260,983,1730,221
10,4,F9,870,131,586,1281
20,5,VX,870,441,192,224
8,3,US,224,983,1093,995
13,3,YV,131,441,1387,1744
6,7,DL,870,224,412,861
31,6,EV,441,983,762,583
4,1,OO,870,123,120,7
17,7,EV,260,870,325,975
3,6,VX,131,224,1167,839
10,4,F9,224,441,437,598
22,3,US,123,260,1850,1813
30,3,YV,260,131,453,625
15,6,WN,131,260,1168,1322
8,7,EV,870,131,1709,1161
9,2,AS,983,870,-57,-100
12,3,OO,131,224,-66,1914
10,1,WN,260,870,1099,847
18,3,HA,260,123,1586,1690
6,6,VX,870,224,1449,803
14,6,MQ,983,123,1013,1066
18,7,9E,441,260,1591,670
6,2,AS,260,123,352,1765
9,6,OO,131,870,669,1213
2,5,DL,123,224,661,318
5,6,YV,983,260,-67,853
1,4,HA,123,224,1300,1621
12,4,AA,983,870,1252,228
2,3,VX,260,224,192,1825
29,7,9E,224,260,1462,-49
8,4,YV,123,441,912,37
24,7,B6,224,870,753,1836
31,3,US,870,441,549,72
17,1,9E,441,131,1871,1123
29,1,HA,224,983,362,866
11,1,FL,441,870,1030,390
1,1,OO,870,224,534,1421
8,2,OO,260,123,274,1286
2,1,UA,260,441,530,339
8,3,UA,224,870,1696,690
13,3,F9,123,441,926,61
15,5,AS,870,441,1907,677
18,3,US,131,224,1818,1027
30,7,FL,260,131,182,534
27,3,UA,870,983,1759,-98
17,4,FL,260,441,-24,1391
8,3,EV,260,131,1487,677
16,7,F9,131,441,1059,1221
11,1,B6,870,441,173,79
6,7,AA,260,224,727,338
4,1,VX,870,224,1906,948
8,5,EV,123,983,-47,754
30,7,EV,441,870,1817,148
24,4,UA,983,131,138,988
24,1,AS,131,123,219,784
4,6,MQ,131,123,1478,676
22,2,FL,224,131,1600,332
19,3,YV,260,441,1649,326
18,4,US,224,260,547,1714
18,3,UA,983,260,1588,1663
11,5,MQ,260,441,776,1436
30,6,9E,260,131,1374,1753
1,6,AA,870,260,1065,-34
