DayOfMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay,distance,flight_time
19,5,VX,260,870,1277,17,3914.2906942548548,4.862
6,4,HA,870,983,1353,958,5474.713231697095,6.8
29,5,9E,983,260,-59,682,4594.370935048134,5.707
24,4,OO,123,224,884,1850,5586.062551802552,6.939
16,4,DL,441,260,281,1105,4219.131928503233,5.241
23,2,AS,224,870,1411,1838,4419.245088580977,5.489
12,4,US,131,260,1341,1758,2489.150149056575,3.092
9,2,B6,983,260,688,1192,4594.370935048134,5.707
18,7,FL,123,441,684,786,5653.025427904596,7.022
9,6,AS,441,870,311,695,4428.681668330508,5.501
12,2,AS,983,224,-43,418,1082.1866549158137,1.344
2,5,AS,983,123,417,1910,5488.0444674895525,6.817
19,3,OO,123,260,1860,1704,2526.1262056156265,3.138
31,1,9E,983,224,1856,367,1082.1866549158137,1.344
13,4,EV,260,123,119,521,2526.1262056156265,3.138
31,3,EV,224,131,916,385,4630.737572725662,5.752
20,5,MQ,131,870,1458,1745,6269.168970616498,7.787
28,5,WN,870,983,1150,146,5474.713231697095,6.8
4,7,HA,131,441,764,983,4696.6795380118465,5.834
6,2,FL,441,123,207,541,5653.025427904596,7.022
15,6,OO,123,870,1092,33,6437.442794880623,7.996
23,3,YV,224,983,191,856,1082.1866549158137,1.344
19,6,HA,983,441,1641,370,1091.4571064792333,1.355
21,2,9E,131,224,482,192,4630.737572725662,5.752
26,3,AS,123,224,1698,409,5586.062551802552,6.939
10,6,VX,870,441,1015,1949,4428.681668330508,5.501
15,1,AA,131,870,1669,1220,6269.168970616498,7.787
1,1,MQ,131,983,-16,1003,4419.77162393208,5.49
25,7,FL,131,123,1827,1711,1124.6721495890558,1.397
19,4,OO,983,224,273,1825,1082.1866549158137,1.344
11,3,B6,983,870,558,1250,5474.713231697095,6.8
16,3,VX,870,441,50,1762,4428.681668330508,5.501
9,3,B6,123,983,1555,-96,5488.0444674895525,6.817
15,4,AA,441,131,668,1381,4696.6795380118465,5.834
21,4,AA,131,870,733,993,6269.168970616498,7.787
30,3,YV,131,224,1885,397,4630.737572725662,5.752
20,7,MQ,123,441,548,1172,5653.025427904596,7.022
18,4,EV,131,123,820,364,1124.6721495890558,1.397
21,7,F9,870,123,1941,1095,6437.442794880623,7.996
9,4,OO,131,441,1834,898,4696.6795380118465,5.834
5,4,HA,870,131,1981,459,6269.168970616498,7.787
9,7,WN,260,123,1292,1979,2526.1262056156265,3.138
10,6,AS,983,123,1905,508,5488.0444674895525,6.817
16,3,US,870,131,1445,1765,6269.168970616498,7.787
23,2,VX,983,224,856,1582,1082.1866549158137,1.344
24,4,VX,123,983,1481,523,5488.0444674895525,6.817
5,5,US,870,123,311,1703,6437.442794880623,7.996
30,4,DL,123,131,490,1579,1124.6721495890558,1.397
5,1,OO,260,441,985,1286,4219.131928503233,5.241
13,6,EV,131,441,1245,1456,4696.6795380118465,5.834
23,7,OO,983,441,47,180,1091.4571064792333,1.355
22,3,MQ,224,441,270,1677,67.05893133409441,0.083
23,7,B6,123,441,1717,581,5653.025427904596,7.022
29,1,AA,441,983,1228,129,1091.4571064792333,1.355
12,4,F9,983,260,900,1587,4594.370935048134,5.707
26,2,FL,131,441,617,223,4696.6795380118465,5.834
20,6,MQ,131,870,1938,486,6269.168970616498,7.787
21,3,YV,224,870,945,-62,4419.245088580977,5.489
29,3,FL,260,870,202,1709,3914.2906942548548,4.862
10,6,WN,983,131,924,1771,4419.77162393208,5.49
7,4,OO,260,983,336,871,4594.370935048134,5.707
12,5,AS,870,131,1109,-11,6269.168970616498,7.787
13,3,DL,260,441,100,1934,4219.131928503233,5.241
25,7,MQ,260,983,1343,797,4594.370935048134,5.707
20,3,F9,441,224,297,61,67.05893133409441,0.083
2,5,UA,983,870,438,269,5474.713231697095,6.8
24,4,FL,983,260,722,441,4594.370935048134,5.707
29,3,9E,260,131,573,952,2489.150149056575,3.092
31,7,AS,260,870,1287,371,3914.2906942548548,4.862
5,7,MQ,870,123,1527,1398,6437.442794880623,7.996
1,3,B6,123,870,1762,1409,6437.442794880623,7.996
22,3,VX,441,260,1421,343,4219.131928503233,5.241
16,1,US,441,224,806,158,67.05893133409441,0.083
30,6,AS,441,870,1572,377,4428.681668330508,5.501
31,1,AS,224,123,1917,375,5586.062551802552,6.939
29,5,F9,123,224,1491,1758,5586.062551802552,6.939
31,6,WN,983,441,532,1599,1091.4571064792333,1.355
27,4,WN,441,123,1045,34,5653.025427904596,7.022
7,4,YV,441,983,867,1385,1091.4571064792333,1.355
12,5,UA,123,441,148,1530,5653.025427904596,7.022
31,1,YV,983,224,275,768,1082.1866549158137,1.344
20,1,AA,441,260,1266,897,4219.131928503233,5.241
7,1,HA,224,131,784,854,4630.737572725662,5.752
26,5,DL,983,224,1035,492,1082.1866549158137,1.344
9,7,FL,224,131,350,5,4630.737572725662,5.752
12,7,MQ,224,123,1226,-36,5586.062551802552,6.939
2,2,WN,224,983,365,160,1082.1866549158137,1.344
25,3,B6,870,260,1751,1963,3914.2906942548548,4.862
2,6,AS,224,131,1776,27,4630.737572725662,5.752
28,4,WN,123,870,342,1908,6437.442794880623,7.996
3,1,US,441,870,507,169,4428.681668330508,5.501
20,6,US,224,983,1460,1107,1082.1866549158137,1.344
20,4,B6,870,131,368,780,6269.168970616498,7.787
29,2,WN,870,260,1288,1757,3914.2906942548548,4.862
24,1,US,870,260,1648,1180,3914.2906942548548,4.862
12,2,OO,441,983,174,273,1091.4571064792333,1.355
3,4,B6,260,123,1426,432,2526.1262056156265,3.138
19,5,US,131,123,400,1582,1124.6721495890558,1.397
31,7,WN,983,441,110,1078,1091.4571064792333,1.355
12,1,HA,131,983,533,1875,4419.77162393208,5.49
12,7,UA,224,123,370,1041,5586.062551802552,6.939
26,4,DL,131,224,995,18,4630.737572725662,5.752
23,7,AS,224,983,1291,1337,1082.1866549158137,1.344
28,2,VX,123,224,185,481,5586.062551802552,6.939
1,1,HA,441,260,1440,1619,4219.131928503233,5.241
6,3,AS,870,983,1228,247,5474.713231697095,6.8
6,7,AA,123,224,234,1014,5586.062551802552,6.939
14,4,YV,870,441,1596,1018,4428.681668330508,5.501
4,3,WN,224,131,354,1060,4630.737572725662,5.752
19,4,AS,441,260,86,803,4219.131928503233,5.241
2,1,HA,870,131,1134,765,6269.168970616498,7.787
25,3,AS,260,224,1243,391,4157.966794274488,5.165
24,4,FL,123,870,429,1457,6437.442794880623,7.996
8,5,UA,131,441,195,1526,4696.6795380118465,5.834
2,4,DL,260,441,1783,218,4219.131928503233,5.241
19,4,VX,260,983,1610,1085,4594.370935048134,5.707
1,3,FL,123,870,1784,1382,6437.442794880623,7.996
28,1,MQ,123,870,1684,1540,6437.442794880623,7.996
13,7,AS,131,123,1290,807,1124.6721495890558,1.397
3,5,B6,983,224,1988,694,1082.1866549158137,1.344
12,6,F9,260,983,867,321,4594.370935048134,5.707
7,2,F9,224,983,208,625,1082.1866549158137,1.344
16,4,YV,260,441,1223,1194,4219.131928503233,5.241
3,4,YV,224,870,1140,1025,4419.245088580977,5.489
12,5,EV,131,123,1171,1791,1124.6721495890558,1.397
2,3,AS,870,123,214,269,6437.442794880623,7.996
17,4,YV,131,260,68,1742,2489.150149056575,3.092
21,2,US,260,131,1848,1953,2489.150149056575,3.092
15,1,US,224,123,245,1966,5586.062551802552,6.939
2,2,YV,441,224,1699,550,67.05893133409441,0.083
30,3,VX,983,260,1574,1285,4594.370935048134,5.707
2,7,US,441,131,169,1250,4696.6795380118465,5.834
22,4,AS,123,131,932,515,1124.6721495890558,1.397
19,6,F9,983,123,1332,1170,5488.0444674895525,6.817
22,4,F9,441,260,247,1168,4219.131928503233,5.241
21,7,US,131,870,423,282,6269.168970616498,7.787
14,5,UA,441,260,-26,1385,4219.131928503233,5.241
31,2,US,983,224,1891,686,1082.1866549158137,1.344
5,1,AS,224,260,314,1979,4157.966794274488,5.165
27,6,AA,260,131,1279,436,2489.150149056575,3.092
5,2,FL,131,870,578,1692,6269.168970616498,7.787
12,6,MQ,123,870,1719,1067,6437.442794880623,7.996
26,4,MQ,260,441,879,1167,4219.131928503233,5.241
29,7,HA,260,870,1406,1704,3914.2906942548548,4.862
25,4,WN,870,983,563,717,5474.713231697095,6.8
5,7,9E,260,131,113,1868,2489.150149056575,3.092
18,1,B6,260,983,1067,243,4594.370935048134,5.707
9,4,F9,260,224,1691,275,4157.966794274488,5.165
29,3,DL,224,870,1599,118,4419.245088580977,5.489
12,2,VX,870,131,234,1435,6269.168970616498,7.787
11,1,US,224,123,498,463,5586.062551802552,6.939
30,7,OO,123,983,468,1821,5488.0444674895525,6.817
1,1,DL,870,131,948,783,6269.168970616498,7.787
18,6,WN,260,224,355,1080,4157.966794274488,5.165
4,1,MQ,224,983,1619,1772,1082.1866549158137,1.344
27,4,DL,123,260,890,488,2526.1262056156265,3.138
1,5,UA,983,870,885,1606,5474.713231697095,6.8
22,1,UA,224,441,177,1978,67.05893133409441,0.083
18,1,VX,260,131,1825,78,2489.150149056575,3.092
12,3,DL,441,870,1362,176,4428.681668330508,5.501
24,6,B6,983,224,1261,446,1082.1866549158137,1.344
18,3,FL,123,983,1803,1860,5488.0444674895525,6.817
26,2,EV,441,224,1774,51,67.05893133409441,0.083
2,7,HA,983,224,71,1192,1082.1866549158137,1.344
13,7,OO,983,131,937,49,4419.77162393208,5.49
7,3,UA,260,441,95,1259,4219.131928503233,5.241
26,3,WN,983,123,1538,1701,5488.0444674895525,6.817
6,4,OO,870,983,1404,992,5474.713231697095,6.8
24,4,EV,260,123,1663,639,2526.1262056156265,3.138
11,1,EV,131,983,1243,1110,4419.77162393208,5.49
20,6,WN,983,870,582,1718,5474.713231697095,6.8
2,6,UA,983,870,1681,1024,5474.713231697095,6.8
3,6,VX,441,123,1388,555,5653.025427904596,7.022
28,5,YV,123,224,42,417,5586.062551802552,6.939
25,6,UA,123,224,1383,1468,5586.062551802552,6.939
20,2,YV,131,123,1419,1423,1124.6721495890558,1.397
19,2,UA,870,123,1530,1187,6437.442794880623,7.996
8,1,DL,441,983,662,1944,1091.4571064792333,1.355
30,5,B6,131,870,972,966,6269.168970616498,7.787
7,5,AS,441,870,1911,719,4428.681668330508,5.501
28,1,YV,123,224,607,1723,5586.062551802552,6.939
31,7,US,123,441,1323,165,5653.025427904596,7.022
10,3,FL,131,260,613,1380,2489.150149056575,3.092
4,2,F9,131,224,869,1923,4630.737572725662,5.752
18,5,UA,123,983,1814,431,5488.0444674895525,6.817
3,3,VX,131,123,1860,1582,1124.6721495890558,1.397
27,5,EV,260,870,413,1198,3914.2906942548548,4.862
15,4,UA,441,123,425,645,5653.025427904596,7.022
14,5,AA,260,224,408,526,4157.966794274488,5.165
6,3,MQ,983,224,1317,1063,1082.1866549158137,1.344
9,2,9E,260,123,412,1140,2526.1262056156265,3.138
3,5,FL,131,260,531,601,2489.150149056575,3.092
24,5,US,441,131,68,16,4696.6795380118465,5.834
31,6,9E,123,260,763,1606,2526.1262056156265,3.138
1,4,AS,131,441,1137,1878,4696.6795380118465,5.834
13,3,YV,224,441,198,145,67.05893133409441,0.083
14,4,YV,224,870,735,1293,4419.245088580977,5.489
11,7,US,131,224,1314,1533,4630.737572725662,5.752
17,5,B6,224,983,1207,890,1082.1866549158137,1.344
9,4,MQ,870,123,477,296,6437.442794880623,7.996
31,4,WN,123,983,916,554,5488.0444674895525,6.817
30,5,US,260,983,677,552,4594.370935048134,5.707
15,4,AS,870,131,1937,-6,6269.168970616498,7.787
17,4,MQ,123,870,781,1345,6437.442794880623,7.996
10,4,OO,123,260,1070,-67,2526.1262056156265,3.138
14,2,9E,260,123,1398,1551,2526.1262056156265,3.138
13,1,HA,983,123,1384,1082,5488.0444674895525,6.817
17,4,9E,123,870,386,427,6437.442794880623,7.996
12,7,US,123,870,1397,490,6437.442794880623,7.996
17,4,AA,224,131,85,59,4630.737572725662,5.752
11,7,OO,224,441,1771,510,67.05893133409441,0.083
5,3,US,131,260,565,1509,2489.150149056575,3.092
27,3,US,131,441,1977,1987,4696.6795380118465,5.834
23,5,AS,131,870,1845,-32,6269.168970616498,7.787
22,1,WN,983,260,1160,9,4594.370935048134,5.707
9,6,MQ,131,870,110,1867,6269.168970616498,7.787
21,6,VX,224,131,505,892,4630.737572725662,5.752
31,6,B6,123,131,681,-23,1124.6721495890558,1.397
14,2,WN,870,983,735,1580,5474.713231697095,6.8
30,4,AA,131,260,465,749,2489.150149056575,3.092
22,4,VX,131,983,1185,609,4419.77162393208,5.49
11,5,UA,870,131,982,1883,6269.168970616498,7.787
9,5,AS,224,260,821,1119,4157.966794274488,5.165
23,2,OO,260,983,1198,1865,4594.370935048134,5.707
30,7,9E,983,131,1078,399,4419.77162393208,5.49
18,4,VX,131,441,1313,499,4696.6795380118465,5.834
10,6,EV,983,123,1318,1711,5488.0444674895525,6.817
24,4,HA,441,983,727,1010,1091.4571064792333,1.355
9,2,B6,131,441,880,893,4696.6795380118465,5.834
29,5,MQ,123,441,853,115,5653.025427904596,7.022
11,6,OO,123,870,311,463,6437.442794880623,7.996
30,2,WN,123,131,1848,1855,1124.6721495890558,1.397
25,3,US,441,224,1069,142,67.05893133409441,0.083
21,5,MQ,260,123,52,617,2526.1262056156265,3.138
30,1,VX,870,224,1929,663,4419.245088580977,5.489
29,1,DL,441,983,1122,339,1091.4571064792333,1.355
15,6,OO,983,260,449,1965,4594.370935048134,5.707
7,7,B6,870,983,1254,565,5474.713231697095,6.8
21,3,FL,441,870,-43,1280,4428.681668330508,5.501
19,6,HA,260,983,618,1560,4594.370935048134,5.707
17,3,EV,260,870,1541,290,3914.2906942548548,4.862
16,3,MQ,224,260,-73,968,4157.966794274488,5.165
15,7,9E,870,224,1250,1136,4419.245088580977,5.489
19,1,9E,131,441,1372,867,4696.6795380118465,5.834
4,4,AS,123,441,554,1560,5653.025427904596,7.022
30,6,AS,441,131,380,1108,4696.6795380118465,5.834
8,2,F9,983,131,1858,527,4419.77162393208,5.49
20,3,WN,870,441,1828,794,4428.681668330508,5.501
22,7,EV,260,224,1729,1381,4157.966794274488,5.165
4,1,HA,123,131,513,573,1124.6721495890558,1.397
15,1,HA,983,131,1902,272,4419.77162393208,5.49
26,1,YV,131,870,440,1601,6269.168970616498,7.787
2,5,YV,870,131,1162,-11,6269.168970616498,7.787
27,1,HA,870,983,199,85,5474.713231697095,6.8
23,1,AA,870,983,182,1833,5474.713231697095,6.8
14,2,F9,123,983,1621,1433,5488.0444674895525,6.817
28,4,VX,870,260,228,444,3914.2906942548548,4.862
4,2,VX,441,983,421,812,1091.4571064792333,1.355
25,1,AS,260,123,1796,1637,2526.1262056156265,3.138
27,2,MQ,131,870,1786,1317,6269.168970616498,7.787
7,6,B6,224,983,31,1617,1082.1866549158137,1.344
8,2,EV,131,123,313,37,1124.6721495890558,1.397
22,6,AA,870,131,902,81,6269.168970616498,7.787
8,5,HA,870,260,131,473,3914.2906942548548,4.862
8,7,US,131,983,1213,870,4419.77162393208,5.49
22,5,MQ,983,224,1593,1130,1082.1866549158137,1.344
18,5,FL,983,123,1649,1930,5488.0444674895525,6.817
31,6,VX,123,983,1205,1605,5488.0444674895525,6.817
10,4,FL,870,224,1839,887,4419.245088580977,5.489
10,7,F9,260,224,1796,136,4157.966794274488,5.165
31,4,F9,131,870,1490,894,6269.168970616498,7.787
11,6,EV,983,224,1742,1419,1082.1866549158137,1.344
24,7,HA,123,131,111,999,1124.6721495890558,1.397
20,5,AA,870,441,198,670,4428.681668330508,5.501
24,6,HA,260,131,1863,755,2489.150149056575,3.092
10,1,HA,260,983,678,380,4594.370935048134,5.707
30,2,HA,441,870,1524,880,4428.681668330508,5.501
25,3,VX,131,983,1809,1371,4419.77162393208,5.49
12,5,OO,983,260,1808,303,4594.370935048134,5.707
16,7,US,260,441,732,1418,4219.131928503233,5.241
2,5,MQ,983,870,497,-34,5474.713231697095,6.8
30,5,WN,983,131,1109,524,4419.77162393208,5.49
8,4,MQ,224,983,1945,1282,1082.1866549158137,1.344
31,6,OO,983,870,1787,589,5474.713231697095,6.8
6,2,OO,441,983,653,140,1091.4571064792333,1.355
27,7,EV,131,123,98,-74,1124.6721495890558,1.397
27,6,MQ,870,224,178,518,4419.245088580977,5.489
17,4,UA,123,224,147,1879,5586.062551802552,6.939
1,1,WN,441,870,-52,-32,4428.681668330508,5.501
9,5,AS,131,441,-30,1957,4696.6795380118465,5.834
22,4,FL,260,441,338,294,4219.131928503233,5.241
8,2,9E,131,224,1351,994,4630.737572725662,5.752
3,3,VX,260,870,1780,896,3914.2906942548548,4.862
10,6,EV,441,224,29,282,67.05893133409441,0.083
13,5,OO,870,260,129,-62,3914.2906942548548,4.862
3,4,WN,441,224,1256,290,67.05893133409441,0.083
8,2,OO,131,123,1010,90,1124.6721495890558,1.397
30,3,AA,123,441,634,1188,5653.025427904596,7.022
19,2,VX,123,224,215,1125,5586.062551802552,6.939
8,5,VX,224,131,1258,1472,4630.737572725662,5.752
5,7,EV,260,441,1951,1316,4219.131928503233,5.241
14,2,EV,123,260,1295,1524,2526.1262056156265,3.138
1,6,9E,260,983,1745,1909,4594.370935048134,5.707
18,4,WN,224,983,660,1456,1082.1866549158137,1.344
10,7,MQ,123,131,201,236,1124.6721495890558,1.397
13,6,F9,983,224,1495,1197,1082.1866549158137,1.344
3,1,AS,983,123,1721,1374,5488.0444674895525,6.817
4,2,EV,260,983,667,1665,4594.370935048134,5.707
18,5,WN,870,131,323,7,6269.168970616498,7.787
18,1,US,123,983,1477,-50,5488.0444674895525,6.817
13,7,EV,983,870,894,594,5474.713231697095,6.8
6,2,9E,441,870,1133,999,4428.681668330508,5.501
3,2,WN,870,224,1030,1624,4419.245088580977,5.489
26,1,UA,983,870,930,910,5474.713231697095,6.8
16,5,HA,441,260,1775,338,4219.131928503233,5.241
1,4,US,224,983,1456,1249,1082.1866549158137,1.344
14,7,F9,870,983,1130,1213,5474.713231697095,6.8
7,4,US,131,441,627,1531,4696.6795380118465,5.834
24,6,OO,983,260,892,1234,4594.370935048134,5.707
27,7,VX,870,983,1395,366,5474.713231697095,6.8
19,5,FL,131,224,10,1790,4630.737572725662,5.752
15,7,AS,441,224,183,1575,67.05893133409441,0.083
5,6,AS,441,870,891,934,4428.681668330508,5.501
23,4,VX,441,224,202,1739,67.05893133409441,0.083
19,4,WN,131,870,50,1372,6269.168970616498,7.787
20,6,EV,441,131,347,916,4696.6795380118465,5.834
12,2,AA,441,260,1536,1258,4219.131928503233,5.241
4,1,B6,260,870,959,809,3914.2906942548548,4.862
17,5,MQ,131,441,1725,1432,4696.6795380118465,5.834
25,6,F9,870,260,1312,0,3914.2906942548548,4.862
10,4,EV,870,123,375,480,6437.442794880623,7.996
11,4,HA,983,260,1878,1326,4594.370935048134,5.707
15,6,YV,870,123,1206,175,6437.442794880623,7.996
26,6,B6,983,123,-8,1305,5488.0444674895525,6.817
22,7,FL,441,123,899,614,5653.025427904596,7.022
11,5,WN,131,224,1792,849,4630.737572725662,5.752
21,2,FL,260,870,1670,1520,3914.2906942548548,4.862
20,2,YV,123,441,1659,1492,5653.025427904596,7.022
7,2,9E,123,441,156,316,5653.025427904596,7.022
6,3,US,260,131,707,1774,2489.150149056575,3.092
22,7,OO,123,983,1183,1491,5488.0444674895525,6.817
19,1,UA,131,870,1341,1775,6269.168970616498,7.787
27,6,AS,131,224,247,448,4630.737572725662,5.752
8,3,B6,983,123,649,1429,5488.0444674895525,6.817
17,4,WN,441,224,464,1471,67.05893133409441,0.083
16,6,FL,870,224,583,1905,4419.245088580977,5.489
6,3,YV,983,224,119,1370,1082.1866549158137,1.344
5,2,VX,123,870,1970,1927,6437.442794880623,7.996
16,4,YV,870,441,1901,585,4428.681668330508,5.501
1,7,MQ,123,131,1096,33,1124.6721495890558,1.397
18,3,FL,983,224,1773,1928,1082.1866549158137,1.344
4,5,B6,131,260,997,1402,2489.150149056575,3.092
25,6,YV,131,123,795,1641,1124.6721495890558,1.397
27,6,MQ,123,441,1119,32,5653.025427904596,7.022
12,7,EV,870,983,1698,380,5474.713231697095,6.8
7,7,UA,260,224,1653,579,4157.966794274488,5.165
26,2,HA,131,224,143,1336,4630.737572725662,5.752
20,5,FL,131,983,1225,1098,4419.77162393208,5.49
9,7,B6,983,131,455,1585,4419.77162393208,5.49
28,6,F9,123,983,443,922,5488.0444674895525,6.817
11,7,MQ,224,441,1508,1904,67.05893133409441,0.083
21,3,WN,224,131,1436,1751,4630.737572725662,5.752
26,7,EV,123,441,1550,1039,5653.025427904596,7.022
15,4,US,441,983,-90,281,1091.4571064792333,1.355
21,6,UA,441,870,159,1529,4428.681668330508,5.501
27,2,OO,224,870,999,1222,4419.245088580977,5.489
11,5,F9,260,983,1887,1307,4594.370935048134,5.707
2,1,YV,441,123,-34,408,5653.025427904596,7.022
15,4,DL,260,224,1652,728,4157.966794274488,5.165
29,6,AS,441,224,551,1022,67.05893133409441,0.083
12,3,EV,123,441,1423,577,5653.025427904596,7.022
21,3,MQ,123,870,1658,273,6437.442794880623,7.996
1,2,OO,441,123,219,443,5653.025427904596,7.022
17,6,YV,131,224,-62,-67,4630.737572725662,5.752
27,1,WN,441,983,441,1856,1091.4571064792333,1.355
13,1,B6,123,224,322,1183,5586.062551802552,6.939
5,4,F9,983,260,485,180,4594.370935048134,5.707
1,5,FL,131,260,1702,1338,2489.150149056575,3.092
21,6,F9,441,224,1586,1712,67.05893133409441,0.083
